Note: Please add Period date in mm/dd/yyyy format only.,,,,,100,,,,,,,,,,
CustomerID,SalespersonID,Period,Sales Forecast,Sales Target,GPP Forecast,GPP Target,Calls Forecast,Calls Target,Strategy,Potential,Current Opportunity,Future Opportunity,Market Share,At Risk,Risk Explanation
C-07,P-03,04-01-2025,,,0,0,2,2,,,,,,,
C-07,P-03,05-01-2025,,,0,0,2,2,,,,,,,
C-07,P-03,06-01-2025,,,0,0,2,2,,,,,,,
C-07,P-03,07-01-2025,1000,1000,33,35,2,2,,,,,,,
C-07,P-03,08-01-2025,1000,1000,33,35,2,2,,,,,,,
C-07,P-03,09-01-2025,1000,1000,33,35,2,2,,,,,,,
C-07,P-03,10-01-2025,1000,1000,33,35,2,2,,,,,,,
C-07,P-03,11-01-2025,1000,1000,33,35,2,2,,,,,,,
C-07,P-03,12-01-2025,1000,1000,33,35,2,2,,,,,,,
C-08,P-05,01-01-2025,,,0,0,1,1,"Part of longer strategy for healthcare/pharma industry, we will begin working on establishing a relationship.",100000,,50000,0,,
C-08,P-05,02-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,03-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,04-01-2025,,,0,0,1,1,,,,,,,
C-08,P-05,05-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,06-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,07-01-2025,,,0,0,1,1,,,,,,,
C-08,P-05,08-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,09-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,10-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,11-01-2025,,,0,0,,1,,,,,,,
C-08,P-05,12-01-2025,,,0,0,1,1,,,,,,,
C-09,P-03,01-01-2025,20000,20000,39.5,45,4,4,"To support our focus on growth in the defense industry, this distributor has agreed to take on our line with commitments setup our line of products, stock and conduct training and join calls to meet or exceed annual rebate program. Since it is new, we are putting 40% of forecast, at risk. Call schedule reflects sales effort to work with corporate purchasing, sales and leadership.",800000,50000,300000,30,96000,"Because this is a new customer and unknowns, we are putting 40% of forecast at risk. We know we have a stocking order and we will get restocking. Just being cautious here."
C-09,P-03,02-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,03-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,04-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,05-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,06-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,07-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,08-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,09-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,10-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,11-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-09,P-03,12-01-2025,20000,20000,39.5,45,4,4,,,,,,,
C-10,P-02,02-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,03-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,04-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,05-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,06-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,07-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,08-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,09-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,10-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,11-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,12-01-2025,3000,3500,45,55,1,1,,,,,,,
C-10,P-02,01-01-2025,3000,3500,45,55,1,1,"This distributor is not growing, but serves as a good channel partner for the local market and does not require in person help.  Handled by IS",60000,,,60,,
C-11,P-04,01-01-2025,,,0,0,2,2,"Sales, Product & Industry Mgt. are working on a proprietary new product  in a new industry with the help of an actual end user.  We've identified 2 potential channel partners (Cust 13 & 14) and have assigned future potential to each. For now, we will work under NDA with the end user to develop and test. Since this business is via channel partners ( 13 & 14), all potential and opps are under those customers.",,,,,,
C-11,P-04,02-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,03-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,04-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,05-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,06-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,07-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,08-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,09-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,10-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,11-01-2025,,,0,0,2,2,,,,,,,
C-11,P-04,12-01-2025,,,0,0,2,2,,,,,,,
C-12,P-01,02-01-2025,13000,15000,69.5,70,1,2,,,,,,,
C-12,P-01,03-01-2025,13000,15000,69.5,70,1,2,,,,,,,
C-12,P-01,04-01-2025,18000,20000,69.5,70,4,2,,,,,,,
C-12,P-01,05-01-2025,21000,25000,69.5,70,1,2,,,,,,,
C-12,P-01,06-01-2025,5000,5000,69.5,70,1,1,,,,,,,
C-12,P-01,07-01-2025,5000,5000,69.5,70,1,1,,,,,,,
C-12,P-01,08-01-2025,8000,9000,69.5,70,1,1,,,,,,,
C-12,P-01,09-01-2025,6000,7000,69.5,70,1,1,,,,,,,
C-12,P-01,10-01-2025,,,0,0,1,1,,,,,,,
C-12,P-01,11-01-2025,,,0,0,1,1,,,,,,,
C-12,P-01,12-01-2025,,,0,0,1,1,,,,,,,
C-12,P-01,01-01-2025,,10000,0,0,1,2,"Existing customer, very seasonal build, with product development project near completion and no risk associated. This project will replace existing business (swap out).",200000,,50000,44.5,,
C-13,P-03,02-01-2025,,,0,0,,,,,,,,,
C-13,P-03,03-01-2025,,,0,0,,,,,,,,,
C-13,P-03,04-01-2025,,,0,0,,,,,,,,,
C-13,P-03,05-01-2025,,,0,0,,,,,,,,,
C-13,P-03,06-01-2025,,,0,0,,,,,,,,,
C-13,P-03,07-01-2025,,,0,0,,,,,,,,,
C-13,P-03,08-01-2025,,,0,0,,,,,,,,,
C-13,P-03,09-01-2025,,,0,0,,,,,,,,,
C-13,P-03,10-01-2025,,,0,0,,,,,,,,,
C-13,P-03,11-01-2025,,,0,0,,,,,,,,,
C-13,P-03,12-01-2025,,,0,0,,,,,,,,,
C-13,P-03,01-01-2025,,,0,0,,,"This account is one of 2 identified OEMs for new industry,  who would use the new product development listed with Cust11. The GTM strategy is to create pull-through using the end users who will require it in the machinery they procure via the OEMS (custs 13 & 14).",1000000,,1000000,0,,
C-14,P-04,01-01-2025,,,0,0,1,,"This account is one of 2 identified OEMs for new industry,  who would use the new product development listed with Cust11. The GTM strategy is to create pull-through using the end users who will require it in the machinery they procure via the OEMS (custs 13 & 14).",1000000,,1000000,0,,
C-14,P-04,02-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,03-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,04-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,05-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,06-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,07-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,08-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,09-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,10-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,11-01-2025,,,0,0,1,,,,,,,,
C-14,P-04,12-01-2025,,,0,0,1,,,,,,,,
C-15,P-02,02-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,03-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,04-01-2025,150000,150000,10,10,4,4,,,,,,,
C-15,P-02,05-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,06-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,07-01-2025,150000,150000,10,10,4,4,,,,,,,
C-15,P-02,08-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,09-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,10-01-2025,150000,150000,10,10,4,4,,,,,,,
C-15,P-02,11-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,12-01-2025,,,0,0,4,4,,,,,,,
C-15,P-02,01-01-2025,150000,150000,10,10,4,4,"This account is among the top 10 users (volume) of our core products and for manufacturing/company expense coverage, is strategic. Highly competitive market and requires very strong relationships and nurturing.",600000,,,100,,
C-16,P-05,01-01-2025,18100,18100,64,70,1,1,"Increase sales reflect government spending. Orders are solid, with first 6 months already firmed up. Due to current and future customer and the fact we do not make the necessary component, our growth is limited as reflected in opps.",750000,,100000,73.7,,
C-16,P-05,02-01-2025,25000,25000,64,70,1,1,,,,,,,
C-16,P-05,03-01-2025,30000,30000,64,70,1,1,,,,,,,
C-16,P-05,04-01-2025,30000,30000,64,70,1,1,,,,,,,
C-16,P-05,05-01-2025,30000,30000,64,70,1,1,,,,,,,
C-16,P-05,06-01-2025,30000,30000,64,70,1,1,,,,,,,
C-16,P-05,07-01-2025,65000,70000,64,70,1,1,,,,,,,
C-16,P-05,08-01-2025,65000,70000,64,70,1,1,,,,,,,
C-16,P-05,09-01-2025,65000,70000,64,70,1,1,,,,,,,
C-16,P-05,10-01-2025,65000,70000,64,70,1,1,,,,,,,
C-16,P-05,11-01-2025,65000,70000,64,70,1,1,,,,,,,
C-16,P-05,12-01-2025,65000,70000,64,70,1,1,,,,,,,
C-17,P-03,02-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,03-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,04-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,05-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,06-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,07-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,08-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,09-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,10-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,11-01-2025,33333,33333,10,10,4,4,,,,,,,
C-17,P-03,12-01-2025,33337,33337,10,10,4,4,,,,,,,
C-17,P-03,01-01-2025,33333,33333,10,10,4,4,"This account is among the top 10 users (volume) of our core products and for manufacturing/company expense coverage, is strategic. Highly competitive market and requires very strong relationships and nurturing.",400000,,,100,,
C-18,P-04,02-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,03-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,04-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,05-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,06-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,07-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,08-01-2025,,,0,0,1,1,,,,,,,
C-18,P-04,09-01-2025,1500,2500,35,38,2,2,,,,,,,
C-18,P-04,10-01-2025,1500,2500,35,38,2,2,,,,,,,
C-18,P-04,11-01-2025,1500,2500,35,38,2,2,,,,,,,
C-18,P-04,12-01-2025,1500,2500,35,38,2,2,,,,,,,
C-18,P-04,01-01-2025,,,0,0,1,1,This is one of the new international accounts. We are taking a conservative approach to sales and contact with them for the initial year. The strategy is to develop the necessary relationships and secure 50% of their business over the next 2-3 years. ,1000000,,500000,0.6,,
C-19,P-05,01-01-2025,,,0,0,1,1,,,,,,,
C-19,P-05,02-01-2025,20000,20000,15.6,26,1,1,,,,,,,
C-19,P-05,03-01-2025,30000,30000,15.6,26,1,1,,,,,,,
C-19,P-05,04-01-2025,30000,30000,15.6,26,1,1,,,,,,,
C-19,P-05,05-01-2025,45000,45000,15.6,26,1,1,,,,,,,
C-19,P-05,06-01-2025,55000,55000,15.6,26,1,1,,,,,,,
C-19,P-05,07-01-2025,,,0,0,1,1,,,,,,,
C-19,P-05,08-01-2025,5000,5000,15.6,26,1,1,,,,,,,
C-19,P-05,09-01-2025,5000,5000,15.6,26,1,1,,,,,,,
C-19,P-05,10-01-2025,5000,5000,15.6,26,1,1,,,,,,,
C-19,P-05,11-01-2025,5000,5000,15.6,26,1,1,,,,,,,
C-19,P-05,12-01-2025,,,0,0,1,1,,,,,,,
C-20,P-02,02-01-2025,64000,70000,19.9,26,1,1,,,,,,,
C-20,P-02,03-01-2025,64000,70000,19.9,26,1,1,,,,,,,
C-20,P-02,04-01-2025,,,0,0,1,1,,,,,,,
C-20,P-02,05-01-2025,,,0,0,1,1,,,,,,,
C-20,P-02,06-01-2025,,,0,0,1,1,,,,,,,
C-20,P-02,07-01-2025,22000,30000,19.9,26,1,1,,,,,,,
C-20,P-02,08-01-2025,22000,30000,19.9,26,1,1,,,,,,,
C-20,P-02,09-01-2025,22000,30000,19.9,26,1,1,,,,,,,
C-20,P-02,10-01-2025,5000,5000,19.9,26,1,1,,,,,,,
C-20,P-02,11-01-2025,5000,5000,19.9,0,1,1,,,,,,,
C-20,P-02,12-01-2025,,,0,0,1,1,,,,,,,
C-20,P-02,01-01-2025,21000,25000,19.9,26,1,1,Long standing account handled by IS with periodic assistance as needed by OS. Covid helped growth which has held.,600000,,150000,37.5,,
C-21,P-01,02-01-2025,,,0,0,1,1,,,,,,,
C-21,P-01,03-01-2025,,,0,0,1,1,,,,,,,
C-21,P-01,04-01-2025,500,1000,33,38,2,2,,,,,,,
C-21,P-01,05-01-2025,750,1000,33,38,2,2,,,,,,,
C-21,P-01,06-01-2025,1000,1500,33,38,2,2,,,,,,,
C-21,P-01,07-01-2025,1000,1500,33,38,2,2,,,,,,,
C-21,P-01,08-01-2025,1000,1500,33,38,2,2,,,,,,,
C-21,P-01,09-01-2025,1500,2000,33,38,2,2,,,,,,,
C-21,P-01,10-01-2025,1500,2000,33,38,2,2,,,,,,,
C-21,P-01,11-01-2025,1500,2000,33,38,2,2,,,,,,,
C-21,P-01,12-01-2025,1500,2000,33,38,2,2,,,,,,,
C-21,P-01,01-01-2025,,,0,0,1,1,This is one of the new international accounts. We are taking a conservative approach to sales and contact with them for the initial year. The strategy is to develop the necessary relationships and secure 50% of their business over the next 2-3 years. ,80000,,35000,12.8,,
